time,lat,long,fx,fy,mz,fx_actual,fy_actual,mz_actual,thruster allocation
2026-04-13 22:31:58.097,-5.924208,105.992613,0.0,0.0,8.0,1.8823531345906022,0.0,0.47058828364765054,1
2026-04-13 22:31:58.410,-5.924208,105.99261293943523,0.0,0.0,8.0,1.9968044071351063,-9.367506770274758e-16,0.5340554523592718,1
2026-04-13 22:31:58.728,-5.9242079999927775,105.99261277136266,0.0,0.0,8.0,2.1082209419420392,1.5959455978986625e-16,0.6006759330367428,1
2026-04-13 22:31:59.025,-5.924207999939539,105.99261251923151,0.0,0.0,8.0,2.2165572875467046,-6.036837696399289e-16,0.6703041669806409,1
2026-04-13 22:31:59.355,-5.924207999774706,105.99261219998797,0.0,0.0,8.0,2.3217734852845684,6.245004513516506e-16,0.7427975892020642,1
2026-04-13 22:31:59.664,-5.924207999588125,105.99261182593597,0.0,0.0,8.0,2.423837389662422,-1.942890293094024e-16,0.8180176412413354,1
2026-04-13 22:31:59.966,-5.924207999157473,105.99261140606593,0.0,0.0,8.0,2.5227209260496117,5.551115123125783e-17,0.8958288852335665,1
2026-04-13 22:32:00.275,-5.924207998373876,105.9926109470035,0.0,0.0,8.0,2.6184018073234605,-8.326672684688674e-16,0.9760997680104488,1
2026-04-13 22:32:00.585,-5.924207997118239,105.99261045368682,0.0,0.0,8.0,2.710860612961688,-6.106226635438361e-16,1.0587017665478946,1
2026-04-13 22:32:00.897,-5.92420799526161,105.99260992985016,0.0,0.0,8.0,2.8000839587654003,-3.0531133177191805e-16,1.1435107203621202,1
2026-04-13 22:32:01.201,-5.924207992665265,105.99260937836901,0.0,0.0,8.0,2.8860603631179282,-1.3877787807814457e-15,1.2304054007504437,1
2026-04-13 22:32:01.515,-5.924207989180674,105.99260880150639,0.0,0.0,8.0,2.968784672473735,2.220446049250313e-16,1.3192694505171985,1
2026-04-13 22:32:01.822,-5.9242079869096544,105.99260820108073,0.0,0.0,8.0,3.0482527098483128,-8.881784197001252e-16,1.4099892925687638,1
2026-04-13 22:32:02.132,-5.924207983657768,105.992607578612,0.0,0.0,8.0,3.12446273247619,-5.551115123125783e-16,1.5024547424050603,1
2026-04-13 22:32:02.435,-5.924207979252059,105.99260693539226,0.0,0.0,8.0,3.1974169778751262,-2.220446049250313e-16,1.5965598338192655,1
2026-04-13 22:32:02.741,-5.924207973510058,105.99260627255508,0.0,0.0,8.0,3.26711914934892,5.551115123125783e-17,1.6922017249815295,1
2026-04-13 22:32:03.046,-5.924207966239976,105.99260559112089,0.0,0.0,8.0,3.3335752526510616,-1.0547118733938987e-15,1.7892811349402107,1
2026-04-13 22:32:03.359,-5.9242079572409745,105.99260489202928,0.0,0.0,8.0,3.3967913726021663,1.505556056491386e-07,1.8877011842690994,1
2026-04-13 22:32:03.664,-5.9242079506045,105.99260417612447,0.0,0.0,8.0,3.456779357084202,-5.551115123125783e-16,1.987370537919031,1
2026-04-13 22:32:03.966,-5.924207942115011,105.99260344427633,0.0,0.0,8.0,3.5135470245691485,-1.6653345369377348e-15,2.0881980172931884,1
2026-04-13 22:32:04.284,-5.924207931552247,105.99260269729402,0.0,0.0,8.0,3.567107233169474,2.220446049250313e-16,2.1900976636017266,1
2026-04-13 22:32:04.591,-5.924207918688514,105.99260193596506,0.0,0.0,8.0,3.617471373510513,-9.992007221626409e-16,2.2929850014384825,1
2026-04-13 22:32:04.900,-5.924207903289248,105.99260116106112,0.0,0.0,8.0,3.664652949995056,-6.661338147750939e-16,2.396779137880941,1
2026-04-13 22:32:05.210,-5.9242078851136375,105.9926003733422,0.0,0.0,8.0,3.7086659895682366,-5.865460306342385e-08,2.5014018116968506,1
2026-04-13 22:32:05.519,-5.924207863915269,105.99259957355967,0.0,0.0,8.0,3.7495241252532505,0.0,2.6067767281324565,1
2026-04-13 22:32:05.819,-5.924207848324381,105.99259876229506,0.0,0.0,8.0,3.7872406765601725,-1.2212453270876722e-15,2.712829499896171,1
2026-04-13 22:32:06.135,-5.9242078296608485,105.99259794042707,0.0,0.0,8.0,3.82183166451264,7.771561172376096e-16,2.8194897669238834,1
2026-04-13 22:32:06.436,-5.92420780767072,105.99259710868922,0.0,0.0,8.0,3.8533103786097636,-5.551115123125783e-16,2.9266872973551283,1
2026-04-13 22:32:06.742,-5.924207782096991,105.99259626781183,0.0,0.0,8.0,3.881691600589901,0.0,3.034354934982267,1
2026-04-13 22:32:07.050,-5.924207752680381,105.99259541852268,0.0,0.0,8.0,3.9069895426830925,-1.3366486628640928e-07,3.142427053111325,1
2026-04-13 22:32:07.357,-5.924207719160131,105.99259456154755,0.0,0.0,8.0,3.929218856652449,-1.3322676295501878e-15,3.2508402787563586,1
2026-04-13 22:32:07.675,-5.924207692296353,105.99259369728011,0.0,0.0,8.0,3.948392125174296,-6.661338147750939e-16,3.3595313677893466,1
2026-04-13 22:32:07.976,-5.924207661260665,105.99259282673424,0.0,0.0,8.0,3.9645234157409535,-1.9984014443252818e-15,3.468440031358644,1
2026-04-13 22:32:08.288,-5.924207625795554,105.99259195062851,0.0,0.0,8.0,3.9776250936489097,2.220446049250313e-16,3.577506212120788,1
2026-04-13 22:32:08.599,-5.92420758564499,105.99259106968059,0.0,0.0,8.0,3.987709469911525,-2.0184007321066844e-06,3.6866713676264053,1
2026-04-13 22:32:08.913,-5.924207540555332,105.99259018460752,0.0,0.0,8.0,3.994788649904856,-1.1102230246251565e-15,3.795878288694184,1
2026-04-13 22:32:09.231,-5.9242074902760296,105.99258929612591,0.0,0.0,8.0,3.9988736432698078,-4.440892098500626e-16,3.905070176772707,1
2026-04-13 22:32:09.532,-5.924207434560509,105.99258840495219,0.0,0.0,8.0,3.9999748371570036,0.0,4.014190948138176,1
2026-04-13 22:32:09.844,-5.924207390684849,105.99258751096792,0.0,0.0,8.0,3.9981027322696914,-2.6208289500839754e-06,4.123185881086968,1
2026-04-13 22:32:10.153,-5.924207341470652,105.9925866156446,0.0,0.0,8.0,3.993266170062933,-1.1102230246251565e-15,4.231999727330475,1
2026-04-13 22:32:10.455,-5.924207286689489,105.99258571969396,0.0,0.0,8.0,3.9854743056400177,-3.116502292455081e-06,4.34057859633907,1
2026-04-13 22:32:10.760,-5.924207226120061,105.99258482382818,0.0,0.0,8.0,3.974734634924389,3.240578250629511e-06,4.44886776320969,1
2026-04-13 22:32:11.073,-5.924207159548919,105.99258392875991,0.0,0.0,8.0,3.9610554311567654,-5.235449113571988e-06,4.556814187690667,1
2026-04-13 22:32:11.379,-5.924207086771645,105.99258303520253,0.0,0.0,8.0,3.944442153380021,6.661338147750939e-16,4.6643623527691975,1
2026-04-13 22:32:11.684,-5.924207025905397,105.99258214265284,0.0,0.0,8.0,3.924901337678251,-4.072059472948197e-06,4.77145849844072,1
2026-04-13 22:32:11.988,-5.924206958955803,105.99258125294467,0.0,0.0,8.0,3.9024389875497354,-2.2057723909618687e-06,4.87804873443717,1
2026-04-13 22:32:12.301,-5.924206885748923,105.99258036678897,0.0,0.0,8.0,3.8770595664002756,-2.220446049250313e-15,4.98407760097928,1
2026-04-13 22:32:12.611,-5.92420680612255,105.99257948489769,0.0,0.0,8.0,3.848767617358676,5.777750806679194e-07,5.089489869351366,1
2026-04-13 22:32:12.918,-5.92420671992736,105.99257860798386,0.0,0.0,8.0,3.817566813366212,-1.3322676295501878e-15,5.1942291824626725,1
2026-04-13 22:32:13.228,-5.924206627027776,105.99257773676159,0.0,0.0,8.0,3.7834608090850415,-4.440892098500626e-16,5.2982389870015325,1
2026-04-13 22:32:13.535,-5.9242065273026885,105.99257687194611,0.0,0.0,8.0,3.746452614178245,-4.440892098500626e-16,5.401461515975454,1
2026-04-13 22:32:13.849,-5.924206445706685,105.9925760119275,0.0,0.0,8.0,3.7065447088141394,0.0,5.503837698688154,1
2026-04-13 22:32:14.159,-5.9242063576500845,105.99257515959097,0.0,0.0,8.0,3.6637397568442758,8.924416974309679e-07,5.605307983517004,1
2026-04-13 22:32:14.475,-5.92420626305621,105.99257431564803,0.0,0.0,8.0,3.618039707001734,-1.2477582303827006e-05,5.705810784344113,1
2026-04-13 22:32:14.778,-5.924206161866163,105.99257348081085,0.0,0.0,8.0,3.5694466976557893,-4.440892098500626e-16,5.805283575152912,1
2026-04-13 22:32:15.097,-5.924206054038692,105.99257265579229,0.0,0.0,8.0,3.5179633208523273,0.0,5.903663134680204,1
2026-04-13 22:32:15.404,-5.924205939551078,105.99257184130558,0.0,0.0,8.0,3.463591556630945,-1.3322676295501878e-15,6.000883541889063,1
2026-04-13 22:32:15.722,-5.9242058416094405,105.9925710352982,0.0,0.0,8.0,3.406333340952812,9.533691327945348e-05,6.096876702044915,1
2026-04-13 22:32:16.041,-5.924205737455187,105.99257024108594,0.0,0.0,8.0,3.34619206274035,0.0,6.191574714491568,1
2026-04-13 22:32:16.351,-5.924205627123264,105.9925694593757,0.0,0.0,8.0,3.283170308503359,-4.440892098500626e-16,6.284905558630401,1
2026-04-13 22:32:16.664,-5.9242055106726745,105.99256869087316,0.0,0.0,8.0,3.217271937295267,0.0,6.376796441484768,1
2026-04-13 22:32:16.979,-5.924205388180393,105.99256793628327,0.0,0.0,8.0,3.1485014132175095,7.160187309729338e-06,6.467172260288335,1
2026-04-13 22:32:17.291,-5.924205259746163,105.99256719630924,0.0,0.0,8.0,3.0768639253400387,-4.440892098500626e-16,6.555955395991423,1
2026-04-13 22:32:17.596,-5.924205125493559,105.99256647165204,0.0,0.0,8.0,3.002365855764343,-8.881784197001252e-16,6.643066233834149,1
2026-04-13 22:32:17.908,-5.924205013595576,105.99256575868617,0.0,0.0,8.0,2.9250146561245804,0.0,6.728422450159116,1
2026-04-13 22:32:18.211,-5.92420489661983,105.9925650622116,0.0,0.0,8.0,2.844819249102316,-1.2168085278929652e-05,6.8119393795743,1
2026-04-13 22:32:18.521,-5.924204774755766,105.9925643829129,0.0,0.0,8.0,2.7617901751104785,-1.2722139297594026e-07,6.893529838883115,1
2026-04-13 22:32:18.830,-5.924204648217432,105.99256372146996,0.0,0.0,8.0,2.6759397483488865,-4.440892098500626e-16,6.973103924036765,1
2026-04-13 22:32:19.140,-5.924204517244037,105.99256307855714,0.0,0.0,8.0,2.587282244315065,0.0,7.050568830060394,1
2026-04-13 22:32:19.462,-5.924204382101145,105.99256245484226,0.0,0.0,8.0,2.4958344389242226,-1.3322676295501878e-15,7.125829613858746,1
2026-04-13 22:32:19.773,-5.924204265960715,105.9925618466839,0.0,0.0,8.0,2.4016153732062353,1.3845976557735895e-05,7.198787851400782,1
2026-04-13 22:32:20.094,-5.924204146535067,105.99256125884688,0.0,0.0,8.0,2.3046470431730914,-1.5537617068073217e-05,7.269342772779989,1
2026-04-13 22:32:20.400,-5.924204024161236,105.9925606919701,0.0,0.0,8.0,2.2049544529099734,-4.440892098500626e-16,7.337390633169788,1
2026-04-13 22:32:20.718,-5.92420389920221,105.99256014668228,0.0,0.0,8.0,2.1025659042355045,0.0,7.402824669463051,1
2026-04-13 22:32:21.031,-5.924203772046183,105.99255962360085,0.0,0.0,8.0,1.997513536986989,-3.217207637096209e-05,7.4655359449029115,1
2026-04-13 22:32:21.343,-5.924203643109162,105.99255912333027,0.0,0.0,8.0,1.8898331510928847,-5.1997064431930085e-08,7.525411625479853,1
2026-04-13 22:32:21.658,-5.924203533217329,105.99255864187386,0.0,0.0,8.0,1.8350119925588269,0.016047285050596827,7.554219100620095,1
2026-04-13 22:32:21.971,-5.9242034217425985,105.99255818259711,0.0,0.0,8.0,1.8250180462492143,-0.13726872081711372,7.578293736311563,1
2026-04-13 22:32:22.289,-5.924203312378007,105.99255774057745,0.0,0.0,8.0,1.7097247777310365,2.0700339220525166e-09,7.616191473802048,1
