time,lat,long,fx,fy,mz,fx_actual,fy_actual,mz_actual,thruster allocation
2026-04-13 22:15:26.068,-5.924208,105.992613,0.0,0.0,8.0,7.761140001162655,0.0,0.0,0
2026-04-13 22:15:26.377,-5.924208,105.99261275028508,0.0,0.0,8.0,7.759957941948552,-3.635980405647388e-15,0.13545056971695332,0
2026-04-13 22:15:26.691,-5.924208,105.99261207252545,0.0,0.0,8.0,7.756412124372932,5.828670879282072e-16,0.2708598798782239,0
2026-04-13 22:15:26.997,-5.924207999982626,105.99261108917172,0.0,0.0,8.0,7.750503628526174,-2.0816681711721685e-15,0.4061866834962118,0
2026-04-13 22:15:27.303,-5.924207999862875,105.99260988784069,0.0,0.0,8.0,7.742234254193356,2.1094237467877974e-15,0.5413897587155813,0
2026-04-13 22:15:27.615,-5.9242079994677805,105.99260853126778,0.0,0.0,8.0,7.731606520306001,-6.106226635438361e-16,0.6764279213698923,0
2026-04-13 22:15:27.934,-5.92420799910664,105.99260706441582,0.0,0.0,8.0,7.718623664174807,1.1102230246251565e-16,0.8112600375266463,0
2026-04-13 22:15:28.237,-5.924207998156183,105.992605519553,0.0,0.0,8.0,7.7032896405035185,-2.4424906541753444e-15,0.9458450360171208,0
2026-04-13 22:15:28.573,-5.924207996260378,105.99260391987964,0.0,0.0,8.0,7.68560912018429,-1.6653345369377348e-15,1.0801419209470144,0
2026-04-13 22:15:28.879,-5.924207993009128,105.99260228211914,0.0,0.0,8.0,7.6655874888748885,-8.881784197001252e-16,1.2141097841842177,0
2026-04-13 22:15:29.206,-5.924207987950445,105.99260061836841,0.0,0.0,8.0,7.6432308453581586,-3.6637359812630166e-15,1.347707817819816,0
2026-04-13 22:15:29.507,-5.924207980600604,105.99259893741988,0.0,0.0,8.0,7.618545999684296,5.551115123125783e-16,1.4808953265985614,0
2026-04-13 22:15:29.813,-5.924207976251152,105.99259724569254,0.0,0.0,8.0,7.591540471096416,-2.1094237467877974e-15,1.6136317403150762,0
2026-04-13 22:15:30.110,-5.924207969509112,105.99259554793939,0.0,0.0,8.0,7.562222485740136,-1.2212453270876722e-15,1.7458766261718863,0
2026-04-13 22:15:30.420,-5.924207959867713,105.99259384770087,0.0,0.0,8.0,7.530600974157807,-5.551115123125783e-16,1.8775897010956775,0
2026-04-13 22:15:30.738,-5.924207946808551,105.99259214765738,0.0,0.0,8.0,7.496685568568179,2.220446049250313e-16,2.0087308440078946,0
2026-04-13 22:15:31.052,-5.924207929806024,105.99259044987517,0.0,0.0,8.0,7.460486599932339,-2.4424906541753444e-15,2.1392601080460185,0
2026-04-13 22:15:31.368,-5.9242079083310655,105.99258875598208,0.0,0.0,8.0,7.422015094806806,1.9984014443252818e-15,2.269137732731747,0
2026-04-13 22:15:31.685,-5.924207881854308,105.99258706729307,0.0,0.0,8.0,7.3812827719847185,-1.1102230246251565e-15,2.3983241560824604,0
2026-04-13 22:15:31.996,-5.924207865621572,105.99258538475819,0.0,0.0,8.0,7.338302038926193,-3.552713678800501e-15,2.5267800266621436,0
2026-04-13 22:15:32.305,-5.9242078446301765,105.99258370941654,0.0,0.0,8.0,7.293085987978884,4.440892098500626e-16,2.6544662155682315,0
2026-04-13 22:15:32.620,-5.924207818371105,105.99258204208175,0.0,0.0,8.0,7.245648392389924,-1.9984014443252818e-15,2.781343828350672,0
2026-04-13 22:15:32.943,-5.924207786341773,105.99258038348648,0.0,0.0,8.0,7.196003702110471,-1.1102230246251565e-15,2.9073742168595107,0
2026-04-13 22:15:33.251,-5.924207748047917,105.99257873430575,0.0,0.0,8.0,7.144167039394101,-3.9968028886505635e-15,3.032518991017531,0
2026-04-13 22:15:33.559,-5.9242077030052815,105.99257709517366,0.0,0.0,8.0,7.0901541941904345,0.0,3.15674003051421,0
2026-04-13 22:15:33.864,-5.924207670554412,105.9925754663203,0.0,0.0,8.0,7.033981619335347,-2.220446049250313e-15,3.2799994964175734,0
2026-04-13 22:15:34.170,-5.924207631516179,105.99257384864201,0.0,0.0,8.0,6.975666425539305,1.5543122344752192e-15,3.4022598427002535,0
